S.NAME G.ID ID CHR P0 P1 BLOCK TWAS.Z BF PIP
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130425632:130427526 9 1.3e+08 1.3e+08 1182 5.140024 56773.7154347559 0.0476076585600349
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130435540:130438083 9 1.3e+08 1.3e+08 1182 5.150231 59610.9101262287 0.0499867911411182
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130413931:130415994 9 1.3e+08 1.3e+08 1182 5.153381 60515.9910917583 0.0507457477330228
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130428575:130430359 9 1.3e+08 1.3e+08 1182 5.156685 61480.6989240718 0.0515547044965404
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130430466:130432177 9 1.3e+08 1.3e+08 1182 5.157125 61610.3731074834 0.0516634429189008
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130423484:130425484 9 1.3e+08 1.3e+08 1182 5.180085 68787.6972263459 0.0576819955785058
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130416075:130420654 9 1.3e+08 1.3e+08 1182 5.18516 70488.3901896256 0.059108113444692
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130432237:130434330 9 1.3e+08 1.3e+08 1182 5.193514 73383.7989035548 0.0615360614552973
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130439032:130440710 9 1.3e+08 1.3e+08 1182 5.20121 76160.6573551906 0.0638645990192507
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130374719:130413882 9 1.3e+08 1.3e+08 1182 5.210595 79695.4585783693 0.0668287102883832
TCGA.PRAD_SP.TUMOR MIR3911 chr9:130444839:130453054 9 1.3e+08 1.3e+08 1182 5.223792 84957.0602361069 0.0712408318710961
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130434395:130435460 9 1.3e+08 1.3e+08 1182 5.255903 99323.7145178651 0.083288004871109
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130420730:130422309 9 1.3e+08 1.3e+08 1182 5.266947 104830.108392023 0.0879053972233712
TCGA.PRAD_SP.TUMOR C9orf78 chr9:132594252:132595726 9 1.33e+08 1.33e+08 1185 -5.5645 468108.998829492 0.019330041465918
GTEx.Thyroid C9orf78 C9orf78 9 1.33e+08 1.33e+08 1185 -5.56697 474122.905817069 0.0195783790790225
TCGA.PRAD_SP.TUMOR USP20 chr9:132595988:132596986 9 1.33e+08 1.33e+08 1185 -5.599452 561081.738108249 0.0231692475267973
GTEx.Lung C9orf78 C9orf78 9 1.33e+08 1.33e+08 1185 -5.6072 584163.041655629 0.0241223643345791
GTEx.Adipose_Subcutaneous C9orf78 C9orf78 9 1.33e+08 1.33e+08 1185 -5.61173 598110.750691468 0.0246983194960725
TCGA.PRAD.TUMOR TOR1A TOR1A 9 1.33e+08 1.33e+08 1185 -5.64225 701516.791084382 0.0289683571446106
GTEx.Whole_Blood C9orf78 C9orf78 9 1.33e+08 1.33e+08 1185 -5.64534 712969.395261374 0.0294412797207362
GTEx.Whole_Blood TOR1A TOR1A 9 1.33e+08 1.33e+08 1185 -5.64825 723931.621418538 0.0298939526808942
GTEx.Testis USP20 USP20 9 1.33e+08 1.33e+08 1185 5.64865 725452.021196137 0.0299567359019373
GTEx.Whole_Blood TOR1B TOR1B 9 1.33e+08 1.33e+08 1185 -5.65384 745481.189913163 0.0307838181900284
GTEx.Pancreas TOR1A TOR1A 9 1.33e+08 1.33e+08 1185 -5.6619 777726.576247944 0.0321153556236058
GTEx.Thyroid TOR1A TOR1A 9 1.33e+08 1.33e+08 1185 -5.67467 831797.258776123 0.034348144435557
TCGA.PRAD_SP.TUMOR USP20 chr9:132597045:132597418 9 1.33e+08 1.33e+08 1185 -5.69021 902877.008537903 0.0372833037974106
TCGA.PRAD_SP.TUMOR C9orf78 chr9:132595796:132595937 9 1.33e+08 1.33e+08 1185 -5.80431 1659893.19342598 0.068543446800104
GTEx.Stomach C9orf78 C9orf78 9 1.33e+08 1.33e+08 1185 -5.84792 2101563.90853405 0.0867817486884861
GTEx.Stomach TOR1A TOR1A 9 1.33e+08 1.33e+08 1185 -5.92355 3177276.37094918 0.131202100691724
TCGA.PRAD.TUMOR C9orf78 C9orf78 9 1.33e+08 1.33e+08 1185 -5.92473 3197967.67826943 0.132056525258405
TCGA.PRAD_SP.TUMOR C9orf78 chr9:132593347:132594175 9 1.33e+08 1.33e+08 1185 -5.924731 3197985.27205043 0.132057251774061
GTEx.Colon_Transverse IDI1 IDI1 10 1090000 1100000 1194 5.31346 131739.740635885 0.985587474129238
CMC.BRAIN.RNASEQ FAM21C FAM21C 10 46200000 46300000 1225 6.5705 135484559.122893 0.990253313868684
YFS.BLOOD.RNAARR AGAP8 AGAP8 10 51200000 51400000 1229 -17.93165 1.82822289168227e+64 1
GTEx.Prostate NCOA4 NCOA4 10 51600000 51600000 1230 25.686 2.89013001369389e+132 1
NTR.BLOOD.RNAARR TRIM8 TRIM8 10 1.04e+08 1.04e+08 1269 -7.86396 788002164066.718 0.21527328630245
YFS.BLOOD.RNAARR TRIM8 TRIM8 10 1.04e+08 1.04e+08 1269 -8.03371 2758482401637.65 0.753586219539537
GTEx.Adipose_Subcutaneous WBP1L WBP1L 10 1.05e+08 1.05e+08 1270 -6.63247 198091828.333847 0.17427134187211
GTEx.Adipose_Visceral_Omentum WBP1L WBP1L 10 1.05e+08 1.05e+08 1270 -6.87853 927280672.471416 0.815775433256753
GTEx.Esophagus_Muscularis RP11-57H14.2 RP11-57H14.2 10 1.15e+08 1.15e+08 1275 -5.2653 103989.220096741 0.0730192987722864
GTEx.Pituitary RP11-57H14.2 RP11-57H14.2 10 1.15e+08 1.15e+08 1275 -5.308539 128581.083101316 0.090287248185001
GTEx.Lung RP11-57H14.2 RP11-57H14.2 10 1.15e+08 1.15e+08 1275 -5.33024 143129.575176452 0.100502929084736
GTEx.Nerve_Tibial RP11-57H14.2 RP11-57H14.2 10 1.15e+08 1.15e+08 1275 -5.52546 382867.021247145 0.268842110638895
GTEx.Whole_Blood RP11-57H14.2 RP11-57H14.2 10 1.15e+08 1.15e+08 1275 -5.615 608392.674975514 0.427202035591569
TCGA.PRAD.TUMOR CTBP2 CTBP2 10 1.27e+08 1.27e+08 1287 6.4763 76573155.265544 0.320602848407005
TCGA.PRAD_SP.TUMOR CTBP2 chr10:126691673:126691907 10 1.27e+08 1.27e+08 1287 6.6 162267546.003239 0.679395243310059
TCGA.PRAD.TUMOR ASCL2 ASCL2 11 2290000 2290000 1297 13.604 5.54122400550871e+36 1
GTEx.Lung RP11-554A11.9 RP11-554A11.9 11 68900000 68900000 1342 14.25129 2.39445514826581e+40 0.0928877890665978
GTEx.Brain_Cerebellar_Hemisphere RP11-554A11.9 RP11-554A11.9 11 68900000 68900000 1342 14.4184 2.21435178100554e+41 0.859010624200903
CMC.BRAIN.RNASEQ C11orf30 C11orf30 11 76200000 76300000 1348 6.63519 201438850.093097 0.999999405607686
TCGA.PRAD_SP.TUMOR MMP7 chr11:102398714:102401324 11 1.02e+08 1.02e+08 1363 8.592686 206363457374044 0.082814798998561
TCGA.PRAD_SP.TUMOR MMP7 chr11:102394132:102395667 11 1.02e+08 1.02e+08 1363 8.668517 378932640466955 0.152067768458564
TCGA.PRAD_SP.TUMOR MMP7 chr11:102398403:102398488 11 1.02e+08 1.02e+08 1363 8.716479 558072449831883 0.223957566652374
TCGA.PRAD.TUMOR MMP7 MMP7 11 1.02e+08 1.02e+08 1363 8.72409 593548041769428 0.238194118283401
TCGA.PRAD_SP.TUMOR MMP7 chr11:102395795:102398255 11 1.02e+08 1.02e+08 1363 8.726375 604638785510069 0.242644895205407
TCGA.PRAD_SP.TUMOR TM7SF3 chr12:27128591:27129193 12 27100000 27100000 1411 4.55282 4041.06894934094 0.0524246228381254
TCGA.PRAD_SP.TUMOR TM7SF3 chr12:27129290:27132717 12 27100000 27100000 1411 5.17606 67469.2449445275 0.875275765825974
TCGA.PRAD.TUMOR TUBA1C TUBA1C 12 49600000 49700000 1427 7.7571 363029558756.765 0.0683939071336583
TCGA.PRAD_SP.TUMOR RP11-161H23.5 chr12:49658967:49663248 12 49700000 49700000 1427 8.1043 4681350614092.76 0.881955343407386
YFS.BLOOD.RNAARR EIF4B EIF4B 12 53400000 53400000 1431 -11.3643 2.93614403095166e+25 1
GTEx.Brain_Frontal_Cortex_BA9 PIBF1 PIBF1 13 73400000 73600000 1530 -5.42 224025.282402242 0.992514443657466
GTEx.Stomach SYNJ2BP-COX16 SYNJ2BP-COX16 14 70800000 70900000 1590 5.0283 33502.6189129599 0.0665609570083578
GTEx.Adrenal_Gland AL357153.1 AL357153.1 14 70900000 70900000 1590 5.5549 445474.683437769 0.885041892684488
GTEx.Thyroid RP11-111A22.1 RP11-111A22.1 15 40800000 40900000 1631 5.1333 54981.7665107385 0.995310886874643
GTEx.Muscle_Skeletal RMDN3 RMDN3 15 4.1e+07 4.1e+07 1632 5.058657 38620.8554222163 0.326656571619718
YFS.BLOOD.RNAARR GCHFR GCHFR 15 41100000 41100000 1632 5.21 79466.3700046448 0.672129389704015
YFS.BLOOD.RNAARR MAP2K1 MAP2K1 15 66700000 66800000 1653 -5.8994 2782805.28936253 0.960689083953071
GTEx.Pancreas MPHOSPH6 MPHOSPH6 16 82181403 82203831 1735 4.70756 7860.16831537484 0.0169393985878051
GTEx.Heart_Left_Ventricle MPHOSPH6 MPHOSPH6 16 82181403 82203831 1735 4.72 8300.02820801739 0.017887337836089
GTEx.Esophagus_Muscularis MPHOSPH6 MPHOSPH6 16 82181403 82203831 1735 4.72101 8336.85521471881 0.0179667034832712
GTEx.Stomach MPHOSPH6 MPHOSPH6 16 82181403 82203831 1735 4.743 9182.59858449178 0.0197893596235417
GTEx.Artery_Aorta MPHOSPH6 MPHOSPH6 16 82181403 82203831 1735 4.86549 15859.1796861645 0.034178016958502
GTEx.Adrenal_Gland MPHOSPH6 MPHOSPH6 16 82181403 82203831 1735 5.01761 31873.138706647 0.0686895978728851
GTEx.Brain_Cerebellar_Hemisphere MPHOSPH6 MPHOSPH6 16 82181403 82203831 1735 5.0501 37100.5360388653 0.0799551285122316
GTEx.Muscle_Skeletal MPHOSPH6 MPHOSPH6 16 82181403 82203831 1735 5.0641 39621.5720230522 0.0853881970772913
NTR.BLOOD.RNAARR MPHOSPH6 MPHOSPH6 16 82181766 82203831 1735 5.29847 122360.679386868 0.263698719473278
GTEx.Cells_EBV-transformed_lymphocytes MPHOSPH6 MPHOSPH6 16 82181403 82203831 1735 5.32659 140567.924346474 0.302937036921683
TCGA.PRAD_SP.TUMOR FAM57A chr17:636009:636338 17 636009 636338 1742 -10.1 9.9059965173003e+19 0.154643716899205
TCGA.PRAD_SP.TUMOR FAM57A chr17:643840:644541 17 643840 644541 1742 -10.1 9.9059965173003e+19 0.154643716899205
TCGA.PRAD.TUMOR FAM57A FAM57A 17 635847 646074 1742 -10.1463 1.53078141132293e+20 0.238972148631145
TCGA.PRAD_SP.TUMOR FAM57A chr17:641287:643745 17 641287 643745 1742 -10.2 2.54226442453368e+20 0.396875992499998
CMC.BRAIN.RNASEQ LOC284023 LOC284023 17 7816639 7819265 1749 5.5406 413837.847068318 0.258565732132101
NTR.BLOOD.RNAARR KDM6B KDM6B 17 7743233 7758114 1749 5.72737 1099457.56851155 0.686940677766089
CMC.BRAIN.RNASEQ C17orf78 C17orf78 17 35732984 35749662 1770 8.4434 63360759168713.1 0.999999872435901
GTEx.Thyroid SUPT4H1 SUPT4H1 17 56422539 56429784 1785 4.651407 6158.35722346181 0.0092584883327387
GTEx.Brain_Cerebellum SUPT4H1 SUPT4H1 17 56422539 56429784 1785 4.72245 8389.65752508392 0.0126130303087548
GTEx.Colon_Transverse RAD51C RAD51C 17 56769934 56811703 1785 -4.93576 21835.0783319833 0.0328269066969555
GTEx.Brain_Putamen_basal_ganglia SUPT4H1 SUPT4H1 17 56422539 56429784 1785 5.6013 566499.864258136 0.851677191402622
TCGA.PRAD_SP.TUMOR POLI chr18:51807273:51809207 18 51807273 51809207 1839 -5.04774 36692.305381657 0.0120002161127424
GTEx.Lung POLI POLI 18 51795774 51847636 1839 -5.051 37257.4615480762 0.0121850504005839
GTEx.Whole_Blood POLI POLI 18 51795774 51847636 1839 -5.064 39602.9450237449 0.0129521406202941
METSIM.ADIPOSE.RNASEQ POLI POLI 18 51795774 51847636 1839 -5.0743 41570.313041806 0.0135955682039377
GTEx.Brain_Putamen_basal_ganglia POLI POLI 18 51795774 51847636 1839 -5.092 45192.5154067942 0.014780209254202
GTEx.Breast_Mammary_Tissue POLI POLI 18 51795774 51847636 1839 -5.111 49448.737183151 0.0161722063121349
YFS.BLOOD.RNAARR POLI POLI 18 51795774 51847636 1839 -5.1275 53483.3688902674 0.0174917323521892
GTEx.Spleen POLI POLI 18 51795774 51847636 1839 -5.1408 56984.3971533197 0.0186367434202168
GTEx.Artery_Aorta POLI POLI 18 51795774 51847636 1839 -5.1775 67937.8935708578 0.0222190837183632
GTEx.Esophagus_Mucosa POLI POLI 18 51795774 51847636 1839 -5.1861 70808.1659468914 0.0231578061141508
GTEx.Esophagus_Muscularis POLI POLI 18 51795774 51847636 1839 -5.19205 72867.5909557616 0.0238313409307116
GTEx.Esophagus_Gastroesophageal_Junction POLI POLI 18 51795774 51847636 1839 -5.2002 75790.0868197042 0.0247871430148576
GTEx.Adipose_Subcutaneous POLI POLI 18 51795774 51847636 1839 -5.20668 78200.6019570141 0.0255755018353207
GTEx.Cells_EBV-transformed_lymphocytes POLI POLI 18 51795774 51847636 1839 -5.2367 90453.4798474823 0.0295828047605321
GTEx.Brain_Cerebellar_Hemisphere POLI POLI 18 51795774 51847636 1839 -5.237 90585.5330098656 0.0296259927387877
GTEx.Brain_Cerebellum POLI POLI 18 51795774 51847636 1839 -5.246 94641.7286259422 0.030952571253879
GTEx.Artery_Tibial POLI POLI 18 51795774 51847636 1839 -5.24821 95666.3190850978 0.0312876634975805
GTEx.Testis POLI POLI 18 51795774 51847636 1839 -5.262 102325.398144753 0.0334655148753151
GTEx.Heart_Atrial_Appendage POLI POLI 18 51795774 51847636 1839 -5.2705 106668.262961918 0.0348858485341661
GTEx.Nerve_Tibial POLI POLI 18 51795774 51847636 1839 -5.3338 145674.761348494 0.0476429213201748
GTEx.Colon_Sigmoid POLI POLI 18 51795774 51847636 1839 -5.456 268686.019677058 0.0878737454368057
GTEx.Thyroid POLI POLI 18 51795774 51847636 1839 -5.584451 519036.13614092 0.16975073490824
NTR.BLOOD.RNAARR POLI POLI 18 51795773 51824604 1839 -5.588 528679.777670803 0.17290468724971
GTEx.Nerve_Tibial KDSR KDSR 18 60994959 61034743 1846 4.6741 6794.16348288588 0.0842859873303139
METSIM.ADIPOSE.RNASEQ KDSR KDSR 18 60994959 61034743 1846 5.0099 30749.3453227937 0.381465494143744
GTEx.Adipose_Subcutaneous KDSR KDSR 18 60994959 61034743 1846 5.05954 38781.3912988414 0.48110821352766
TCGA.PRAD_SP.TUMOR CTD-3032J10.3 chr19:17318053:17320395 19 17318053 17320395 1873 5.14404 57872.8772817119 0.164504682373572
TCGA.PRAD_SP.TUMOR MYO9B chr19:17321189:17321524 19 17321189 17321524 1873 5.29659 121234.307386858 0.344610673707722
TCGA.PRAD_SP.TUMOR MYO9B chr19:17317593:17317922 19 17317593 17317922 1873 5.33411 145898.604662747 0.414719377126546
GTEx.Colon_Sigmoid PPP1R14A PPP1R14A 19 38741877 38747231 1888 12.08127 7.19853914405703e+28 0.097837229545258
GTEx.Esophagus_Gastroesophageal_Junction PPP1R14A PPP1R14A 19 38741877 38747231 1888 -12.21571 3.28010619176952e+29 0.445807817384613
GTEx.Esophagus_Muscularis PPP1R14A PPP1R14A 19 38741877 38747231 1888 12.21672 3.31790268495049e+29 0.450944837695748
GTEx.Adipose_Subcutaneous AC011526.1 AC011526.1 19 41960074 42006559 1891 9.408094 188041019598553280 0.139725621360569
GTEx.Breast_Mammary_Tissue AC011526.1 AC011526.1 19 41960074 42006559 1891 9.4086 188874109802423360 0.140344656753132
GTEx.Skin_Sun_Exposed_Lower_leg AC011526.1 AC011526.1 19 41960074 42006559 1891 9.59174 950193878071435264 0.706050362362329
CMC.BRAIN.RNASEQ ARFRP1 ARFRP1 20 62329994 62339365 1952 9.26068 52401116472365760 0.922691518025379
GTEx.Brain_Nucleus_accumbens_basal_ganglia TTLL12 TTLL12 22 43562628 43583139 2001 11.8488 5.43919418150539e+27 0.999999999815181
